Symbol,Ticker,Total Fund Rasing,Issuing Date Farsi,Secondary Trading Date Farsi,Maturity Date Farsi,Issuing Date,Secondary Trading Date,Maturity Date,Bond Period
710,IRB3TB419831,"3,314 ",1397.05.27,1397.12.18,1398.03.27,"43,330 ","43,533 ","43,633 ",10 
608,IRB3TB209841,"16,000 ",1396.08.11,1396.11.29,1398.04.11,"43,041 ","43,149 ","43,648 ",20 
609,IRB3TB239841,"8,000 ",1396.08.11,1396.11.29,1398.04.11,"43,041 ","43,149 ","43,648 ",20 
711,IRB3TB429841,"10,000 ",1397.05.30,1397.06.21,1398.04.30,"43,333 ","43,355 ","43,667 ",11 
622,IRB3TB299851,"10,000 ",1396.12.23,1397.04.12,1398.05.23,"43,173 ","43,284 ","43,691 ",17 
705,IRB3TB389851,"14,360 ",1397.03.23,1397.06.21,1398.05.23,"43,264 ","43,355 ","43,691 ",14 
712,IRB3TB439851,"10,000 ",1397.05.30,1397.06.21,1398.05.30,"43,333 ","43,355 ","43,698 ",12 
707,IRB3TB379861,"30,000 ",1397.03.27,1397.08.28,1398.06.27,"43,268 ","43,423 ","43,726 ",15 
606,IRB3TB189871,"10,000 ",1396.07.22,1396.11.04,1398.07.22,"43,022 ","43,124 ","43,752 ",24 
714,IRB3TB459871,"6,030 ",1397.07.22,1397.10.19,1398.07.22,"43,387 ","43,474 ","43,752 ",12 
708,IRB3TB399871,"10,000 ",1397.04.23,1397.08.05,1398.07.23,"43,295 ","43,400 ","43,753 ",15 
604,IRB3TB169881,"19,000 ",1396.07.20,1396.10.20,1398.08.20,"43,020 ","43,110 ","43,780 ",25 
615,IRB3TB269881,"7,000 ",1396.08.20,1396.12.09,1398.08.20,"43,050 ","43,159 ","43,780 ",24 
610,IRB3TB219891,"17,000 ",1396.08.11,1396.11.30,1398.09.11,"43,041 ","43,150 ","43,801 ",25 
613,IRB3TB2598A1,"17,625 ",1396.08.16,1396.12.08,1398.10.16,"43,046 ","43,158 ","43,836 ",26 
614,IRB3TB2298A1,"10,374 ",1396.08.16,1396.11.15,1398.10.16,"43,046 ","43,135 ","43,836 ",24 
717,IRB3TB4898A1,"2,819 ",1397.09.17,1397.12.25,1398.10.17,"43,442 ","43,540 ","43,837 ",13 
612,IRB3TB2498B1,"18,000 ",1396.08.14,1396.12.02,1398.11.14,"43,044 ","43,152 ","43,864 ",27 
706,IRB3TB369941,"27,868 ",1397.03.23,1397.07.14,1399.04.23,"43,264 ","43,379 ","44,025 ",25 
709,IRB3TB409951,"23,000 ",1397.05.13,1397.08.05,1399.05.13,"43,316 ","43,400 ","44,046 ",24 
623,IRB3TB309951,"15,246 ",1396.12.28,1397.04.19,1399.05.28,"43,178 ","43,291 ","44,061 ",29 
624,IRB3TB319961,"12,754 ",1396.12.28,1397.04.11,1399.06.25,"43,178 ","43,283 ","44,089 ",30 
703,IRB3TB349971,"40,393 ",1397.03.21,1397.08.05,1399.07.21,"43,262 ","43,400 ","44,116 ",28 
704,IRB3TB3599A1,"24,441 ",1397.03.22,1397.06.26,1399.10.22,"43,263 ","43,360 ","44,207 ",31 
716,IRB3TB470041,"10,679 ",1397.09.07,1397.12.25,1400.04.07,"43,432 ","43,540 ","44,375 ",31 
713,IRB3TB440051,"17,663 ",1397.07.18,1397.11.02,1400.05.18,"43,383 ","43,487 ","44,417 ",34 
